Aluminum Oxide (Al2O3)	Al2O3(l)
T(K)	Cp	S	-[G-H(Tr)]/T	H-H(Tr)	delta-f H	delta-f G	log Kf
1400	192.464	241.859	147.354	132.308	-1630.708	-1197.213	44.669
1500	192.464	255.138	154.102	151.554	-1623.274	-1166.509	40.621
1600	192.464	267.559	160.809	170.800	-1615.878	-1136.299	37.096
1700	192.464	279.227	167.435	190.047	-1608.520	-1106.551	34.000
1800	192.464	290.228	173.954	209.293	-1601.197	-1077.235	31.261
1900	192.464	300.634	180.350	228.540	-1593.910	-1048.325	28.820
2000	192.464	310.507	186.613	247.786	-1586.658	-1019.797	26.634
2100	192.464	319.897	192.739	267.032	-1579.440	-991.632	24.665
2200	192.464	328.850	198.724	286.279	-1572.256	-963.809	22.884
2300	192.464	337.406	204.569	305.525	-1565.106	-936.313	21.264
