#Calcium Oxide (CaO)	Ca1O1(l)
#T(K)	Cp	S	-[G-H(Tr)]/T	H-H(Tr)	delta-f H	delta-f G	log Kf
2200	62.760	166.374	119.282	103.603	-704.531	-338.717	8.042
2300	62.760	169.164	121.391	109.879	-702.296	-322.140	7.316
2400	62.760	171.835	123.437	116.155	-700.092	-305.659	6.652
2500	62.760	174.397	125.425	122.431	-697.922	-289.269	6.044
2600	62.760	176.859	127.356	128.707	-695.794	-272.965	5.484
2700	62.760	179.227	129.234	134.983	-693.714	-256.741	4.967
2800	62.760	181.510	131.060	141.259	-691.688	-240.594	4.488
2900	62.760	183.712	132.838	147.535	-689.724	-224.519	4.044
3000	62.760	185.840	134.569	153.811	-687.829	-208.510	3.630
3100	62.760	187.898	136.257	160.087	-686.011	-192.562	3.245
3200	62.760	189.890	137.902	166.363	-684.278	-176.673	2.884
