#Potassium Silicate (K2SiO3)	K2O3Si1(l)
#T(K)	Cp	S	-[G-H(Tr)]/T	H-H(Tr)	delta-f H	delta-f G	log Kf
1300	179.912	417.357	289.211	166.590	1627.403  1109.670 44.587
1400	179.912	430.690	298.846	184.581	-1621.773	-1070.056	39.924
1500	179.912	443.103	308.055	202.572	-1616.227	-1030.842	35.897
1600	179.912	454.714	316.862	220.563	-1610.764	-991.994	32.385
1700	179.912	465.621	325.295	238.555	-1655.560	-953.040	29.283
1800	179.912	475.905	333.379	256.546	-1650.032	-911.875	26.462
1900	179.912	485.632	341.139	274.537	-1644.548	-871.016	23.946
2000	179.912	494.860	348.596	292.528	-1639.109	-830.445	21.689
2100	179.912	503.638	355.772	310.519	-1633.718	-790.144	19.654
2200	179.912	512.008	362.685	328.511	-1628.380	-750.098	17.810
2300	179.912	520.005	369.352	346.502	-1623.098	-710.296	16.131
2400	179.912	527.662	375.790	364.493	-1617.876	-670.721	14.598
2500	179.912	535.006	382.013	382.484	-1612.720	-631.363	13.192
2600	179.912	542.063	388.034	400.475	-1607.634	-592.209	11.898
2700	179.912	548.853	393.865	418.467	-1602.623	-553.249	10.703
2800	179.912	555.396	399.518	436.458	-1597.692	-514.474	9.598
2900	179.912	561.709	405.002	454.449	-1592.847	-475.874	8.571
3000	179.912	567.808	410.328	472.440	-1588.095	-437.438	7.616
