#Magnesium Aluminum Oxide (MgAl2O4)	Al2Mg1O4(l)
#T(K)	Cp	S	-[G-H(Tr)]/T	H-H(Tr)	delta-f H	delta-f G	log Kf
2500	219.660	538.101	369.913	420.470	2192.452  1156.661 24.167
2600	219.660	546.716	376.549	442.436	-2186.712	-1115.342	22.408
2700	219.660	555.006	383.006	464.402	-2181.016	-1074.243	20.782
2800	219.660	562.995	389.292	486.368	-2763.167	-1031.419	19.241
2900	219.660	570.703	395.415	508.334	-2755.368	-969.710	17.466
3000	219.660	578.150	401.383	530.300	-2747.614	-908.268	15.814
3100	219.660	585.352	407.202	552.266	-2739.904	-847.082	14.273
3200	219.660	592.326	412.879	574.232	-2732.239	-786.147	12.833
3300	219.660	599.086	418.420	596.198	-2724.618	-725.450	11.483
3400	219.660	605.643	423.830	618.164	-2717.043	-664.982	10.216
3500	219.660	612.010	429.116	640.130	-2709.515	-604.738	9.025
3600	219.660	618.199	434.283	662.096	-2702.035	-544.707	7.903
3700	219.660	624.217	439.335	684.062	-2694.603	-484.885	6.845
3800	219.660	630.075	444.278	706.028	-2687.223	-425.260	5.846
3900	219.660	635.781	449.116	727.994	-2679.895	-365.830	4.900
4000	219.660	641.342	453.852	749.960	-2672.622	-306.588	4.004
