#Magnesium Oxide (MgO)	Mg1O1(l)
#T(K)	Cp	S	-[G-H(Tr)]/T	H-H(Tr)	delta-f H	delta-f G	log Kf
2200	66.944	146.530	101.579	98.891	-653.736	-258.077	6.128
2300	66.944	149.505	103.599	105.585	-651.037	-240.153	5.454
2400	66.944	152.354	105.571	112.280	-648.350	-222.346	4.839
2500	66.944	155.087	107.498	118.974	-645.674	-204.651	4.276
2600	66.944	157.713	109.379	125.669	-643.012	-187.062	3.758
2700	66.944	160.239	111.216	132.363	-640.362	-169.576	3.281
2800	66.944	162.674	113.011	139.057	-637.725	-152.188	2.839
2900	66.944	165.023	114.764	145.752	-635.103	-134.894	2.430
3000	66.944	167.293	116.477	152.446	-632.496	-117.690	2.049
3100	66.944	169.488	118.152	159.140	-629.904	-100.572	1.695
