#Magnesium Titanium Oxide (MgTi2O5)	Mg1O5Ti2(l)
#T(K)	Cp	S	-[G-H(Tr)]/T	H-H(Tr)	delta-f H	delta-f G	log Kf
2000	261.082	582.776	394.731	376.090	2481.473  1531.089 39.988
2100	261.082	595.514	403.992	402.198	-2476.355	-1483.696	36.905
2200	261.082	607.660	412.975	428.306	-2471.294	-1436.544	34.108
2300	261.082	619.265	421.694	454.414	-2466.290	-1389.624	31.559
2400	261.082	630.377	430.159	480.522	-2461.342	-1342.919	29.228
2500	261.082	641.035	438.383	506.631	-2456.451	-1296.419	27.087
2600	261.082	651.275	446.375	532.739	-2451.614	-1250.113	25.115
2700	261.082	661.128	454.148	558.847	-2446.832	-1203.992	23.293
2800	261.082	670.623	461.710	584.955	-2442.105	-1158.047	21.604
2900	261.082	679.785	469.073	611.063	-2437.431	-1112.272	20.034
3000	261.082	688.636	476.245	637.171	-2432.812	-1066.655	18.572
3100	261.082	697.196	483.235	663.280	-2428.245	-1021.190	17.207
3200	261.082	705.485	490.052	689.388	-2423.732	-975.875	15.930
3300	261.082	713.519	496.702	715.496	-2419.271	-930.700	14.732
3400	261.082	721.313	503.195	741.604	-2414.863	-885.656	13.606
3500	261.082	728.882	509.535	767.712	-2410.508	-840.744	12.547
3600	261.082	736.236	515.731	793.820	-2406.207	-795.954	11.549
3700	261.082	743.390	521.788	819.928	-3220.157	-735.708	10.386
3800	261.082	750.352	527.711	846.037	-3213.497	-668.648	9.191
3900	261.082	757.134	533.507	872.145	-3207.003	-601.763	8.060
4000	261.082	763.744	539.181	898.253	-3200.675	-535.044	6.987
