#Magnesium Silicate (Mg2SiO4)	Mg2O4Si1(l)
#T(K)	Cp	S	-[G-H(Tr)]/T	H-H(Tr)	delta-f H	delta-f G	log Kf
2200	205.016	458.623	301.525	345.616	2375.259  1131.582 26.867
2300	205.016	467.736	308.555	366.117	-2369.298	-1075.186	24.418
2400	205.016	476.461	315.370	386.619	-2363.384	-1019.047	22.179
2500	205.016	484.830	321.982	407.120	-2357.515	-963.154	20.124
2600	205.016	492.871	328.401	427.622	-2351.693	-907.495	18.232
2700	205.016	500.609	334.637	448.124	-2345.917	-852.058	16.484
2800	205.016	508.065	340.699	468.625	-2340.189	-796.834	14.865
2900	205.016	515.259	346.595	489.127	-2334.508	-741.816	13.362
3000	205.016	522.209	352.333	509.628	-2328.877	-686.991	11.962
3100	205.016	528.932	357.922	530.130	-2323.296	-632.353	10.655
3200	205.016	535.441	363.368	550.632	-2317.767	-577.896	9.433
3300	205.016	541.749	368.679	571.133	-2312.291	-523.610	8.288
3400	205.016	547.870	373.860	591.635	-2306.872	-469.488	7.213
3500	205.016	553.813	378.917	612.136	-2301.510	-415.527	6.201
3600	205.016	559.588	383.855	632.638	-2680.362	-351.255	5.097
3700	205.016	565.205	388.681	653.140	-2674.711	-286.637	4.047
3800	205.016	570.673	393.399	673.641	-2669.130	-222.167	3.054
3900	205.016	575.998	398.013	694.143	-2663.620	-157.845	2.114
4000	205.016	581.189	402.528	714.644	-2658.186	-93.665	1.223
