#Magnesium Titanium Oxide (Mg2TiO4)	Mg2O4Ti1(l)
#T(K)	Cp	S	-[G-H(Tr)]/T	H-H(Tr)	delta-f H	delta-f G	log Kf
2100	228.446	521.532	354.113	351.580	2266.923  1218.278 30.303
2200	228.446	532.159	361.966	374.425	-2260.577	-1168.490	27.743
2300	228.446	542.314	369.588	397.270	-2254.277	-1118.992	25.413
2400	228.446	552.037	376.989	420.114	-2248.023	-1069.766	23.283
2500	228.446	561.362	384.179	442.959	-2241.816	-1020.800	21.328
2600	228.446	570.322	391.167	465.804	-2235.654	-972.081	19.529
2700	228.446	578.944	397.963	488.648	-2229.540	-923.598	17.868
2800	228.446	587.252	404.576	511.493	-2223.473	-875.340	16.330
2900	228.446	595.268	411.014	534.338	-2217.453	-827.300	14.901
3000	228.446	603.013	417.286	557.182	-2211.483	-779.465	13.572
3100	228.446	610.504	423.398	580.027	-2205.563	-731.828	12.331
3200	228.446	617.757	429.359	602.872	-2199.695	-684.383	11.171
3300	228.446	624.786	435.175	625.716	-2193.881	-637.120	10.085
3400	228.446	631.606	440.853	648.561	-2188.122	-590.031	9.065
3500	228.446	638.228	446.398	671.405	-2182.422	-543.113	8.106
3600	228.446	644.664	451.817	694.250	-2176.783	-496.355	7.202
3700	228.446	650.923	457.114	717.095	-2580.306	-441.966	6.239
3800	228.446	657.015	462.294	739.939	-2573.563	-384.261	5.282
3900	228.446	662.949	467.364	762.784	-2566.947	-326.734	4.376
4000	228.446	668.733	472.326	785.629	-2560.458	-269.377	3.518
