#Sodium Silicate (Na2Si2O5)	Na2O5Si2(l)
#T(K)	Cp	S	-[G-H(Tr)]/T	H-H(Tr)	delta-f H	delta-f G	log Kf
1200	261.207	499.434	320.906	214.234	2595.338  1881.064 81.881
1300	261.207	520.342	335.454	240.355	-2587.813	-1821.847	73.203
1400	261.207	539.700	349.360	266.475	-2580.448	-1763.204	65.786
1500	261.207	557.721	362.657	292.596	-2573.236	-1705.082	59.376
1600	261.207	574.579	375.381	318.717	-2566.173	-1647.437	53.783
1700	261.207	590.415	387.569	344.838	-2659.609	-1589.334	48.834
1800	261.207	605.345	399.257	370.958	-2652.376	-1526.587	44.300
1900	261.207	619.468	410.479	397.079	-2645.202	-1464.239	40.255
2000	261.207	632.866	421.266	423.200	-2638.086	-1402.267	36.623
2100	261.207	645.610	431.648	449.320	-2631.031	-1340.650	33.347
2200	261.207	657.761	441.652	475.441	-2624.034	-1279.366	30.376
2300	261.207	669.373	451.302	501.562	-2617.098	-1218.401	27.671
2400	261.207	680.489	460.622	527.683	-2610.223	-1157.736	25.197
2500	261.207	691.152	469.631	553.803	-2603.410	-1097.356	22.928
