Sodium Oxide (Na2O)	Na2O1(l)
T(K)	Cp	S	-[G-H(Tr)]/T	H-H(Tr)	delta-f H	delta-f G	log Kf
1500	104.600	260.601	176.792	125.714	531.992  167.596 5.836
1600	104.600	267.352	182.244	136.174	-527.523	-143.448	4.683
1700	104.600	273.693	187.438	146.634	-523.066	-119.580	3.674
1800	104.600	279.672	192.398	157.094	-518.622	-95.974	2.785
1900	104.600	285.328	197.142	167.554	-514.191	-72.614	1.996
2000	104.600	290.693	201.686	178.014	-509.772	-49.488	1.292
2100	104.600	295.796	206.047	188.474	-505.367	-26.582	0.661
2200	104.600	300.662	210.238	198.934	-500.976	-3.886	0.092
2300	104.600	305.312	214.271	209.394	-496.600	18.611	-0.423
2400	104.600	309.764	218.158	219.854	-492.240	40.918	-0.891
2500	104.600	314.034	221.908	230.314	-487.899	63.044	-1.317
2600	104.600	318.136	225.531	240.774	-483.576	84.996	-1.708
2700	104.600	322.084	229.034	251.234	-479.275	106.783	-2.066
2800	104.600	325.888	232.426	261.694	-474.998	128.410	-2.396
2900	104.600	329.559	235.712	272.154	-470.745	149.885	-2.700
3000	104.600	333.105	238.900	282.614	-466.522	171.214
