#Sodium Silicate (Na2SiO3)	Na2O3Si1(l)
#T(K)	Cp	S	-[G-H(Tr)]/T	H-H(Tr)	delta-f H	delta-f G	log Kf
1400	177.318	383.188	257.780	175.571	1678.966  1079.431 40.274
1500	177.318	395.421	266.553	193.303	-1673.677	-1036.792	36.104
1600	177.318	406.865	274.969	211.034	-1668.470	-994.504	32.467
1700	177.318	417.615	283.047	228.766	-1713.518	-952.091	29.254
1800	177.318	427.750	290.807	246.498	-1708.238	-907.454	26.334
1900	177.318	437.337	298.269	264.230	-1702.994	-863.110	23.729
2000	177.318	446.433	305.452	281.962	-1697.785	-819.040	21.391
2100	177.318	455.084	312.373	299.693	-1692.613	-775.230	19.283
2200	177.318	463.333	319.049	317.425	-1687.478	-731.665	17.372
2300	177.318	471.215	325.495	335.157	-1682.381	-688.333	15.633
2400	177.318	478.762	331.725	352.889	-1677.322	-645.223	14.043
2500	177.318	486.000	337.752	370.621	-1672.303	-602.322	12.585
