#Silicon Oxide (SiO2)	O2Si1(l)
#T(K)	Cp	S	-[G-H(Tr)]/T	H-H(Tr)	delta-f H	delta-f G	log Kf
1800	85.772	163.759	105.881	104.181	-939.468	-589.559	17.109
1900	85.772	168.397	109.050	112.759	-937.350	-570.178	15.675
2000	85.772	172.796	112.128	121.336	-935.255	-550.907	14.388
2100	85.772	176.981	115.118	129.913	-933.183	-531.741	13.226
2200	85.772	180.971	118.021	138.490	-931.133	-512.672	12.172
2300	85.772	184.784	120.842	147.067	-929.106	-493.697	11.212
2400	85.772	188.434	123.582	155.645	-927.102	-474.809	10.334
2500	85.772	191.936	126.247	164.222	-925.119	-456.004	9.528
2600	85.772	195.300	128.839	172.799	-923.158	-437.279	8.785
2700	85.772	198.537	131.360	181.376	-921.217	-418.628	8.099
2800	85.772	201.656	133.816	189.953	-919.297	-400.048	7.463
2900	85.772	204.666	136.207	198.531	-917.397	-381.538	6.872
3000	85.772	207.574	138.538	207.108	-915.517	-363.092	6.322
3100	85.772	210.386	140.810	215.685	-913.655	-344.708	5.808
3200	85.772	213.109	143.027	224.262	-911.811	-326.385	5.328
3300	85.772	215.749	145.191	232.839	-909.985	-308.119	4.877
3400	85.772	218.309	147.304	241.417	-908.175	-289.907	4.454
3500	85.772	220.796	149.369	249.994	-906.381	-271.749	4.056
3600	85.772	223.212	151.387	258.571	-1288.754	-243.181	3.528
3700	85.772	225.562	153.360	267.148	-1286.577	-214.168	3.024
3800	85.772	227.849	155.290	275.725	-1284.416	-185.212	2.546
3900	85.772	230.077	157.179	284.303	-1282.269	-156.313	2.094
4000	85.772	232.249	159.029	292.880	-1280.137	-127.470	1.665
4100	85.772	234.367	160.841	301.457	-1278.019	-98.680	1.257
4200	85.772	236.434	162.616	310.034	-1275.914	-69.941	0.870
4300	85.772	238.452	164.356	318.611	-1273.822	-41.252	0.501
4400	85.772	240.424	166.063	327.189	-1271.742	-12.612	0.150
4500	85.772	242.351	167.737	335.766	-1269.674	15.981	-0.186
