species	method	A	B
Mg2Si1O4	F	-0.94	7434
Mg1Si1O3	F	0.42	2329
Mg1Al2O4	F	1.18	464
Mg1Ti1O3	F	-0.13	3246
Mg1Ti2O5	F	0.51	2845
Mg2Ti1O4	F	0.67	3812
Al6Si2O13	F	-2.94	9375
Ca1Al2O4	F	-1.89	10060
Ca1Al4O7	F	-0.59	9713
Ca12Al14O33	F	-6.3	72239
Ca1Si1O3	F	0.54	5568
Ca1Al2Si2O8	F	2.63	5326
Ca1Mg1Si2O6	F	1.46	8485
Ca2Mg1Si2O7	F	0.63	15327
Ca2Al2Si1O7	F	2.01	10710
Ca1Ti1O3	F	-0.08	7055
Ca2Si1O4	F	0.63	8416
Ca1Ti1Si1O5	F	-0.18	10071
Fe1Ti1O3	F	-0.51	3569
Fe2Si1O4	F	-0.63	3103
Fe1Al2O4	F	-1.76	5692
Ca1Al12O19	F	-3.79	22612
Mg2Al4Si5O18	F	7.48	0
Na2Si1O3	F	-1.33	13870
Na2Si2O5	F	-1.39	15350
Na1Al1Si1O4	F	0.65	6997
Na1Al1Si3O8	F	1.29	8788
Na1Al1O2	F	0.55	3058
Na2Ti1O3	F	-1.38	15445
Na1Al1Si2O6	F	-1.02	9607
K2Si1O3	F	0.15	14600
K2Si2O5	F	-0.73	18466
K1Al1Si1O4	F	0.97	8675
K1Al1Si3O8	F	1.11	11229
K1Al1O2	F	0.72	4679
K1Al1Si2O6	F	1.53	10125
Si1O2	F	22.13	-94311
Mg1O1	F	12.56	-46992
Fe1O1	F	12.06	-44992
Ca1O1	F	11.88	-49586
Al2O3	F	35.83	-153255
Ti1O2	F	21.07	-95362
Na2O1	F	15.56	-40286
K2O1	F	15.33	-36735
Th1O2	F	20.43	-112807
U1O2	F	19.18	-100627
Pu1O2	F	18.67	-91886
